what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332236184077
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1332236190808
closed,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1332236190825
opened,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1332236201946
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1332236201988
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1332236207468
closed,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1332236207487
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1332236207510
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1332236207539
closed,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1332236207556
closed,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1332236207562
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1332236209733
closed,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1332236209733
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332236216218
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332236509261
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332236514260
error,log,,,"Core exception while retrieving the content description",1332236738600
error,log,,,"Core exception while retrieving the content description",1332236738601
error,log,,,"Core exception while retrieving the content description",1332236738602
error,log,,,"Core exception while retrieving the content description",1332236738603
error,log,,,"Core exception while retrieving the content description",1332236738607
error,log,,,"Core exception while retrieving the content description",1332236738608
error,log,,,"Core exception while retrieving the content description",1332236738609
error,log,,,"Core exception while retrieving the content description",1332236738610
error,log,,,"Core exception while retrieving the content description",1332236738614
error,log,,,"Core exception while retrieving the content description",1332236738615
error,log,,,"Core exception while retrieving the content description",1332236738616
error,log,,,"Core exception while retrieving the content description",1332236738618
error,log,,,"Core exception while retrieving the content description",1332236738623
error,log,,,"Core exception while retrieving the content description",1332236738624
error,log,,,"Core exception while retrieving the content description",1332236738625
error,log,,,"Core exception while retrieving the content description",1332236738627
error,log,,,"Core exception while retrieving the content description",1332236738629
